Ecosystem/Croptype,Geolocation,2012 Quarter 1,2012 Quarter 2,2012 Semester 1,2012 Quarter 3,2012 Quarter 4,2012 Semester 2,2013 Quarter 1,2013 Quarter 2,2013 Semester 1,2013 Quarter 3,2013 Quarter 4,2013 Semester 2,2014 Quarter 1,2014 Quarter 2,2014 Semester 1,2014 Quarter 3,2014 Quarter 4,2014 Semester 2,2015 Quarter 1,2015 Quarter 2,2015 Semester 1,2015 Quarter 3,2015 Quarter 4,2015 Semester 2,2016 Quarter 1,2016 Quarter 2,2016 Semester 1,2016 Quarter 3,2016 Quarter 4,2016 Semester 2,2017 Quarter 1,2017 Quarter 2,2017 Semester 1,2017 Quarter 3,2017 Quarter 4,2017 Semester 2,2018 Quarter 1,2018 Quarter 2,2018 Semester 1,2018 Quarter 3,2018 Quarter 4,2018 Semester 2,2019 Quarter 1,2019 Quarter 2,2019 Semester 1,2019 Quarter 3,2019 Quarter 4,2019 Semester 2,2020 Quarter 1,2020 Quarter 2,2020 Semester 1,2020 Quarter 3,2020 Quarter 4,2020 Semester 2,2021 Quarter 1,2021 Quarter 2,2021 Semester 1,2021 Quarter 3,2021 Quarter 4,2021 Semester 2,2022 Quarter 1,2022 Quarter 2,2022 Semester 1,2022 Quarter 3,2022 Quarter 4,2022 Semester 2,2023 Quarter 1,2023 Quarter 2,2023 Semester 1,2023 Quarter 3,2023 Quarter 4,2023 Semester 2,2024 Quarter 1,2024 Quarter 2,2024 Semester 1,2024 Quarter 3,2024 Quarter 4,2024 Semester 2,2025 Quarter 1,2025 Quarter 2,2025 Semester 1,2025 Quarter 3,2025 Quarter 4,2025 Semester 2
Irrigated Palay,Albay,38809,51747,90556,37594,37553,75147,32322,56558,88880,38142,52183,90325,31727,59644,91371,35969,56447,92416,32342,55661,88003,34198,48229,82427,29496,57477,86973,39089,44533,83622,38583,51731,90314,36850,48025,84875,35897,54385,90282,37928,49448.66,87376.66,28600.2,49991.59,78591.79,41961.72,48215,90176.72,28523,57580,86103,43603.7,56733,100336.7,36262,59007,95269,42787,52671,95458,37671,61951,99622,44004,49831,93835,39130.28,60904.27,100034.55,43309.8,52782,96091.8,36749.2,57249,93998.2,37220.6,42830,80050.6,33825,61672,95497,40846.2,40919.41,81765.61
Irrigated Palay,Camarines Norte,12429,13723,26152,13823,16389,30212,13791,14160,27951,16282,17916,34198,15047,14788,29835,8382,23096,31478,14480,15157,29637,10247,20041,30288,10929,16763,27692,11270,21336,32606,13760,16655,30415,17293,21923,39216,16327,18716,35043,14999.4,22552,37551.4,13250.44,17987.8,31238.24,9357,22720,32077,18164.91,15452,33616.91,14160.76,23194.55,37355.31,16797.6,21092,37889.6,16160.28,25157,41317.28,16070.11,18349,34419.11,15964.5,23273.44,39237.94,11032.26,21449.06,32481.32,15516.4,23831.06,39347.46,13464.1,18668.13,32132.24,12822.11,13928.75,26750.86,12473.38,19371.73,31845.11,12727.91,16630.99,29358.9
Irrigated Palay,Camarines Sur,108009,115977,223986,104962,106016,210978,108823,127731,236554,104292,123350,227642,112489,131225,243714,86932,130651,217583,111153,134960,246113,106990,176035,283025,119263,127168,246431,105990,169567,275557,107165,141307,248472,101992,188651,290643,104527,150732,255259,99332,191878,291210,97593,124467,222060,100752,165714,266466,98914,131424,230338,107993,145277,253270,114564,144394,258958,108707,168777,277484,110605,126153,236758,107122,170980,278102,108801,121589,230390,107797,165666,273463,110447,123420,233867,110967,148641,259608,113304,125768,239072,107088,148917,256005
Irrigated Palay,Catanduanes,5783,3037,8820,3197,2837,6034,5217,3037,8254,4000,2851,6851,9890,1261,11151,3313,3217,6530,7245,1344,8589,6178,4131,10309,5799,4570,10369,6339,3230,9569,6075,3838,9913,5624,3982,9606,6643,4172,10815,7274.8,4069.66,11344.46,4559,2969,7528,2439.71,4380,6819.71,4248,3155.78,7403.78,3790.77,2775,6565.77,3594.67,3027.96,6622.63,3553.2,2913.66,6466.86,3851.61,3019,6870.61,3470.25,2464.11,5934.37,1704.5,1997.36,3701.86,2401.11,2124.69,4525.81,2351.17,2920.62,5271.79,1629.41,1752,3381.41,3309.31,2730.48,6039.8,2725.46,2903.24,5628.7
Irrigated Palay,Masbate,16790,7509,24299,11772,9342,21114,10997,17452,28449,13232,10238,23470,10991,18300,29291,9222,14874,24096,12025,13768,25793,5442,11265,16707,10974,12260,23234,4750,12096,16846,11110,15432,26542,6590,11664,18254,11315,13926,25241,5788,11876,17664,10287,13745,24032,5723.26,10926,16649.26,10311,14488,24799,5493,11297,16790,9531,13915,23446,5572,10974,16546,6083,14480,20563,5584,9019,14603,7989.2,13449,21438.2,5987,8861,14848,7980.9,9979.21,17960.11,2004,11807,13811,9926,17509,27435,1487,14663,16150
Irrigated Palay,Sorsogon,24450,23894,48344,24060,25495,49555,23425,28645,52070,11282,36280,47562,23712,29586,53298,12533,38178,50711,16579,35606,52185,14198,35738,49936,15533,38430,53963,13886,38156,52042,15649,39308,54957,5917,46585,52502,18287,36699,54986,9435,45344,54779,18683,34560,53243,9353,31484,40837,15057,39336,54393,11064,45033,56097,14326,41704,56030,11212,46499,57711,14103,41537,55640,9151,44557.45,53708.45,14512,38501.96,53013.96,9531.43,44173.36,53704.79,14596.81,41188.82,55785.64,8930.04,27887.99,36818.02,8583.81,30048.57,38632.37,7650.58,34222.49,41873.07
Rainfed Palay,Albay,8702,11420,20122,5959,15024,20983,8918,11152,20070,4922,16783,21705,9069,10798,19867,1576,20470,22046,9102,9096,18198,1113,14604,15717,7122,10976,18098,2041,11077,13118,5909,8166,14075,1847,13713,15560,6578,7212,13790,1457,13113.8,14570.8,3124.68,3542.7,6667.38,1604,10972.9,12576.9,5076,6436,11512,1692.25,16363,18055.25,7345,7559,14904,1950,16952,18902,7490.8,7525,15015.8,2029,15729,17758,8400.5,8948.02,17348.52,2457.1,16717.28,19174.38,8205.3,5096,13301.3,2582.1,14114,16696.1,9198,5494,14692,3117.9,15882.3,19000.2
Rainfed Palay,Camarines Norte,4480,7944,12424,10239,6499,16738,6447,7410,13857,8649,7756,16405,10476,7697,18173,6373,9925,16298,9396,8727,18123,5681,5886,11567,6186,8092,14278,6100,9233,15333,14640,8234,22874,4540,10054,14594,14751,9508,24259,4791.58,9205,13996.58,7293,8293.68,15586.68,4991,9565,14556,12022.7,9267,21289.7,7248.05,9002.1,16250.15,12236.3,4640,16876.3,9897.45,10312,20209.45,11861.33,5688.75,17550.08,9695.8,8889.5,18585.3,8272.7,9755.35,18028.05,9131.94,9401.37,18533.31,9672.29,4624.64,14296.93,7262.74,5458.89,12721.63,8760.23,7337.36,16097.59,6474.89,6544.28,13019.17
Rainfed Palay,Camarines Sur,35350,19488,54838,28940,45007,73947,32629,32775.8,65404.8,12695,59184,71879,36196,19093,55289,7580,59631,67211,37310,20663,57973,13267,58170,71437,54698,24201,78899,15478,50048,65526,41158,27816,68974,16809,58487,75296,43710,27317,71027,15674,56552,72226,34163,21296,55459,16089,52913,69002,36576,50376,86952,22119,57727,79846,34038,34574,68612,19334,58815,78149,38584,33618,72202,17320,61048,78368,41092,29724,70816,16812,51920,68732,41091,28925,70016,17843,46748,64591,41337,28711,70048,17923,47622,65545
Rainfed Palay,Catanduanes,5894,6215,12109,3841,1526,5367,6097,3199,9296,3370,1717,5087,10345,1859,12204,3729,1838,5567,7520,2870,10390,3499,2954,6453,5652,3068,8720,612,4795,5407,4472,4274,8746,2499,7025,9524,5580,4605,10185,1376.42,6224,7600.42,3863,3460.06,7323.06,1092.35,4567.56,5659.91,2635,3559.39,6194.39,2503.15,4352,6855.15,3056,3459.99,6515.99,1355.25,2415.69,3770.94,3385.6,3629.03,7014.63,2197.21,2792.65,4989.86,4030.86,3018.81,7049.67,1333.05,1182.88,2515.93,7093.1,2510.76,9603.86,1079.46,1568,2647.46,6005.03,3180.9,9185.94,1996.42,2751.33,4747.75
Rainfed Palay,Masbate,17353,34227,51580,9639,47831,57470,20952,39205,60157,9951,46626,56577,21446,41750,63196,4371,59219,63590,20134,35277,55411,3778,46065,49843,19425,35171,54596,4460,50735,55195,20731,37352,58083,4204,51749,55953,20674,34932,55606,4300,53221,57521,19341,33193.33,52534.33,4100.98,50343,54443.98,19277,33326,52603,4143.98,49674.03,53818.01,19284,34666,53950,4087,50725,54812,30806,30442,61248,4656,50183,54839,28840.8,33804,62644.8,4609,51614,56223,28032,22764.61,50796.61,1260,53046,54306,31992,40198,72190,3319,50258,53577
Rainfed Palay,Sorsogon,7760,8549,16309,3751,12472,16223,5636,8705.6,14341.6,1064,15192,16256,5974,11152,17126,316,15790,16106,6748,10220,16968,641,8715,9356,4466,13543,18009,537,8872,9409,6116,15341,21457,229,14003,14232,6411,15194,21605,458,16042,16500,5130,10993,16123,468,12785,13253,4052,12415,16467,485,17595,18080,4040,13847,17887,526.4,18639,19165.4,4236.5,16178.76,20415.26,431,21294,21725,4235.25,15259.97,19495.22,439.6,18607.77,19047.37,4245.69,15454.75,19700.44,690.69,13276.45,13967.14,3158.22,12522.17,15680.39,581.54,7064.21,7645.75
Palay,Albay,47511,63167,110678,43553,52577,96130,41240,67710,108950,43064,68966,112030,40796,70442,111238,37545,76917,114462,41444,64757,106201,35311,62833,98144,36618,68453,105071,41130,55610,96740,44492,59897,104389,38697,61738,100435,42475,61597,104072,39385,62562.46,101947.46,31724.88,53534.29,85259.17,43565.72,59187.9,102753.62,33599,64016,97615,45295.95,73096,118391.95,43607,66566,110173,44737,69623,114360,45161.8,69476,114637.8,46033,65560,111593,47530.78,69852.29,117383.07,45766.9,69499.28,115266.18,44954.5,62345,107299.5,39802.7,56944,96746.7,43023,67166,110189,43964.1,56801.71,100765.81
Palay,Camarines Norte,16909,21667,38576,24062,22888,46950,20238,21570,41808,24931,25672,50603,25523,22485,48008,14755,33021,47776,23876,23884,47760,15928,25927,41855,17115,24855,41970,17370,30569,47939,28400,24889,53289,21833,31977,53810,31078,28224,59302,19790.98,31757,51547.98,20543.44,26281.48,46824.92,14348,32285,46633,30187.61,24719,54906.61,21408.81,32196.65,53605.46,29033.9,25732,54765.9,26057.73,35469,61526.73,27931.44,24037.75,51969.19,25660.3,32162.94,57823.24,19304.95,31204.41,50509.36,24648.34,33232.42,57880.76,23136.4,23292.77,46429.17,20084.85,19387.64,39472.49,21233.61,26709.09,47942.7,19202.8,23175.27,42378.07
Palay,Camarines Sur,143359,135465,278824,133902,151023,284925,141452,160506.8,301958.8,116987,182534,299521,148685,150318,299003,94512,190282,284794,148463,155623,304086,120257,234205,354462,173961,151369,325330,121468,219615,341083,148323,169123,317446,118801,247138,365939,148237,178049,326286,115006,248430,363436,131756,145763,277519,116841,218627,335468,135490,181800,317290,130112,203004,333116,148602,178968,327570,128041,227592,355633,149189,159771,308960,124442,232028,356470,149893,151313,301206,124609,217586,342195,151538,152345,303883,128810,195389,324199,154641,154479,309120,125011,196539,321550
Palay,Catanduanes,11677,9252,20929,7038,4363,11401,11314,6236,17550,7370,4568,11938,20235,3120,23355,7042,5055,12097,14765,4214,18979,9677,7085,16762,11451,7638,19089,6951,8025,14976,10547,8112,18659,8123,11007,19130,12223,8777,21000,8651.22,10293.66,18944.88,8422,6429.06,14851.06,3532.06,8947.56,12479.62,6883,6715.17,13598.17,6293.92,7127,13420.92,6650.67,6487.95,13138.61,4908.46,5329.34,10237.8,7237.21,6648.02,13885.23,5667.47,5256.76,10924.23,5735.36,5016.17,10751.53,3734.16,3307.58,7041.74,9444.27,5431.38,14875.65,2708.87,3320,6028.87,9314.35,5911.39,15225.74,4721.89,5654.57,10376.46
Palay,Masbate,34143,41736,75879,21411,57173,78584,31949,56657,88606,23183,56864,80047,32437,60050,92487,13593,74093,87686,32159,49045,81204,9220,57330,66550,30399,47431,77830,9210,62831,72041,31841,52784,84625,10794,63413,74207,31989,48858,80847,10088,65097,75185,29628,46938.33,76566.33,9824.24,61269,71093.24,29588,47814,77402,9636.98,60971.03,70608.01,28815,48581,77396,9659,61699,71358,36889,44922,81811,10240,59202,69442,36830,47253,84083,10596,60475,71071,36012.9,32743.82,68756.72,3264,64853,68117,41918,57707,99625,4806,64921,69727
Palay,Sorsogon,32210,32443,64653,27811,37967,65778,29061,37350.6,66411.6,12346,51472,63818,29686,40738,70424,12849,53968,66817,23327,45826,69153,14839,44453,59292,19999,51973,71972,14423,47028,61451,21765,54649,76414,6146,60588,66734,24698,51893,76591,9893,61386,71279,23813,45553,69366,9821,44269,54090,19109,51751,70860,11549,62628,74177,18366,55551,73917,11738.4,65138,76876.4,18339.5,57715.76,76055.26,9582,65851.45,75433.45,18747.25,53761.93,72509.18,9971.03,62781.13,72752.16,18842.5,56643.57,75486.08,9620.73,41164.43,50785.16,11742.03,42570.74,54312.76,8232.12,41286.69,49518.81
White Corn,Albay,356,744,1100,733,483,1216,709,1047,1756,637,678,1315,834,1218,2052,860,962,1822,920,1356,2276,1335,764,2099,904,1914,2818,2171,799,2970,710,1050,1760,2040,898,2938,636,1349,1985,1818,774,2592,652,923.1,1575.1,1723,665,2388,618,1230,1848,2827,928,3755,734,1208,1942,3013,1012,4025,1036.2,1367.4,2403.6,2550,654,3204,1045.2,1155,2200.2,2505,731.5,3236.5,847.5,828,1675.5,2940,1000,3940,1434,1882,3316,2146.5,666,2812.5
White Corn,Camarines Norte,256,409,665,271,105,376,305,421,726,377,120,497,341,473,814,135,127,262,411,470,881,422,135,557,385,485,870,446,159,605,385,510,895,492,170,662,408,560,968,500,182,682,379.9,413,792.9,159.04,188.1,347.14,430,661.85,1091.85,435.81,180,615.81,450.5,649.64,1100.14,370.5,139.16,509.66,430,488,918,397.8,216.06,613.86,425.7,467.84,893.54,396.86,355.5,752.36,424.11,393.27,817.38,390.08,130.5,520.58,0,440.07,440.07,379.09,225.32,604.41
White Corn,Camarines Sur,2080,3579,5659,2270,1666,3936,3871,3826,7697,2289,1827,4116,6369,4803,11172,2974,3982,6956,6288,4636,10924,1185,4492,5677,3795,5510,9305,1090,5447,6537,7478,6035,13513,1755,4876,6631,8892,4926,13818,4002,4895,8897,6849,3798,10647,4757,4588,9345,6818,4974,11792,3713,4302,8015,7179,4984,12163,3917,5290,9207,6783,3957,10740,3654,5278,8932,6436,3461,9897,3890,5028,8918,6331,3463,9794,3651,4267,7918,6376,3330,9706,3915,4397,8312
White Corn,Catanduanes,40,59,99,24,41,65,42,61,103,45,50,95,44,77,121,49,49,98,50,74,124,53,137,190,45,72,117,100,95,195,45,120,165,294,480,774,63,107,170,252,389.94,641.94,55,61,116,197,252,449,34,148.25,182.25,243,211,454,67,124.85,191.85,147.56,54.12,201.68,14.61,82.26,96.87,53.96,17.58,71.55,2.82,6.72,9.54,4.08,6.09,10.17,1.87,1.02,2.89,2.24,3.17,5.4,1.84,8.07,9.91,3.52,4.2,7.73
White Corn,Masbate,13163,1747,14910,18746,820,19566,10265,3625,13890,16987,1842,18829,13220,2997,16217,16305,1355,17660,13277,3069,16346,12032,4174,16206,11890,2826,14716,16524,2668,19192,14786,2881,17667,16751,2940,19691,13575,3059,16634,15018,3337,18355,12001,2773,14774,15047,6427,21474,12975,4404,17379,18814,6411,25225,12876,4478,17354,19059,6504,25563,12739,3828.52,16567.52,17107,6377.21,23484.21,12588.59,3645,16233.59,17204,6286,23490,12501,4547,17048,9974,8286,18260,18572.16,3748,22320.16,5879,2128,8007
White Corn,Sorsogon,20,21,41,51,30,81,44,32,76,35,42,77,49,30,79,29,158,187,36,33,69,36,87,123,50,50,100,92,168,260,50,41,91,69,104,173,64,42,106,69,108,177,63,37.8,100.8,77.22,135,212.22,53.48,52.75,106.23,94,110,204,64.85,46.6,111.45,99,110,209,67.88,50.9,118.78,95,88.4,183.4,57.44,44.04,101.48,88.4,85.24,173.64,54.68,41.18,95.86,91.71,71.8,163.51,40,47.9,87.9,64.95,51.81,116.76
Yellow Corn,Albay,7634,26117,33751,8090,13399,21489,8785,27188,35973,8795,11597,20392,8955,26106,35061,8733,12997,21730,8312,26836,35148,5962,7984,13946,6876,29258,36134,6721,10132,16853,6451,26893,33344,6405,11683,18088,6426,25568,31994,5805,9519,15324,5662,16133.55,21795.55,5753.11,8525.76,14278.87,5056,20020,25076,5866,9498,15364,6276,23026,29302,6095,10316,16411,7412,29211,36623,5391,8448,13839,7900,26241,34141,4074.7,7434,11508.7,6796.3,14649,21445.3,4921,6725,11646,6592,7533,14125,4517.84,5668,10185.84
Yellow Corn,Camarines Norte,134,162,296,280,0,280,121,146,267,310,0,310,149,189,338,144,0,144,190,170,360,250,0,250,175,176,351,312,0,312,177,199,376,364,0,364,181,202,383,383,0,383,183.56,136.3,319.86,221.25,0,221.25,200,216.32,416.32,328.32,0,328.32,210.6,208.25,418.85,301,0,301,200,104,304,286.45,150.99,437.44,201.76,137.6,339.36,308.16,325.44,633.6,196.86,222.5,419.36,298.54,157.85,456.39,0,70.4,70.4,291.21,178.02,469.23
Yellow Corn,Camarines Sur,29314,36876,66190,42173,18275,60448,26242,51604,77846,49381,22823,72204,32582,55991,88573,51731,28828,80559,28262,33469,61731,44183,30805,74988,30747,37031,67778,51337,26947,78284,32650,51775,84425,56921,25942,82863,33243,50206,83449,47444,33535,80979,24890,39968,64858,50560,31850,82410,25529.79,59396,84925.79,55510,26805,82315,30324,58238,88562,52169,31157,83326,29183,52819,82002,53914,31800,85714,28534,51433,79967,48978,31000,79978,28139,50206,78345,48794,25018,73812,29242,50270,79512,50970,27552,78522
Yellow Corn,Catanduanes,14,24,38,50,9,59,16,35,51,37,36,73,20,46,66,40,48,88,60,59,119,61,61,122,65,52,117,49,60,109,74,52,126,353,240,593,77,53,130,124,216,340,75,48,123,65.12,125.49,190.61,0,42,42,0,145,145,40.65,0,40.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Corn,Masbate,216,0,216,0,0,0,626,314,940,265,546,811,337,196,533,417,570,987,275,258,533,340,562,902,271,304,575,387,570,957,295,304,599,416,713,1129,259,289,548,384,603,987,341,295,636,397.54,603,1000.54,298,294,592,1314,640,1954,300,296,596,677,334,1011,316,298,614,780,596.13,1376.13,451.54,296,747.54,788,679,1467,398,254,652,772,2150,2922,700,710,1410,1448,1167,2615
Yellow Corn,Sorsogon,12,7,19,23,22,45,17,10,27,0,44,44,20,11,31,0,97,97,44,89,133,107,97,204,22,80,102,26,92,118,13,37,50,20,68,88,23,67,90,25,74,99,22.7,54.48,77.18,25.6,85,110.6,16,54,70,23,81,104,39.6,66.4,106,25,71,96,45,64.96,109.96,19.2,47.2,66.4,38.4,56.5,94.9,16.73,44.84,61.57,35.25,52.8,88.05,18.4,34.4,52.8,22,37.44,59.44,11.92,20.35,32.27
Corn,Albay,7990,26861,34851,8823,13882,22705,9494,28235,37729,9432,12275,21707,9789,27324,37113,9593,13959,23552,9232,28192,37424,7297,8748,16045,7780,31172,38952,8892,10931,19823,7161,27943,35104,8445,12581,21026,7062,26917,33979,7623,10293,17916,6314,17056.65,23370.65,7476.11,9190.76,16666.87,5674,21250,26924,8693,10426,19119,7010,24234,31244,9108,11328,20436,8448.2,30578.4,39026.6,7941,9102,17043,8945.2,27396,36341.2,6579.7,8165.5,14745.2,7643.8,15477,23120.8,7861,7725,15586,8026,9415,17441,6664.34,6334,12998.34
Corn,Camarines Norte,390,571,961,551,105,656,426,567,993,687,120,807,490,662,1152,279,127,406,601,640,1241,672,135,807,560,661,1221,758,159,917,562,709,1271,856,170,1026,589,762,1351,883,182,1065,563.46,549.3,1112.76,380.29,188.1,568.39,630,878.17,1508.17,764.13,180,944.13,661.1,857.89,1518.99,671.5,139.16,810.66,630,592,1222,684.25,367.05,1051.3,627.46,605.44,1232.9,705.02,680.94,1385.96,620.97,615.77,1236.74,688.62,288.35,976.97,0,510.47,510.47,670.29,403.34,1073.63
Corn,Camarines Sur,31394,40455,71849,44443,19941,64384,30113,55430,85543,51670,24650,76320,38951,60794,99745,54705,32810,87515,34550,38105,72655,45368,35297,80665,34542,42541,77083,52427,32394,84821,40128,57810,97938,58676,30818,89494,42135,55132,97267,51446,38430,89876,31739,43766,75505,55317,36438,91755,32347.79,64370,96717.79,59223,31107,90330,37503,63222,100725,56086,36447,92533,35966,56776,92742,57568,37078,94646,34970,54894,89864,52868,36028,88896,34470,53669,88139,52445,29285,81730,35618,53600,89218,54885,31949,86834
Corn,Catanduanes,54,83,137,74,50,124,58,96,154,82,86,168,64,123,187,89,97,186,110,133,243,114,198,312,110,124,234,149,155,304,119,172,291,647,720,1367,140,160,300,376,605.94,981.94,130,109,239,262.12,377.49,639.61,34,190.25,224.25,243,356,599,107.65,124.85,232.5,147.56,54.12,201.68,14.61,82.26,96.87,53.96,17.58,71.55,2.82,6.72,9.54,4.08,6.09,10.17,1.87,1.02,2.89,2.24,3.17,5.4,1.84,8.07,9.91,3.52,4.2,7.73
Corn,Masbate,13379,1747,15126,18746,820,19566,10891,3939,14830,17252,2388,19640,13557,3193,16750,16722,1925,18647,13552,3327,16879,12372,4736,17108,12161,3130,15291,16911,3238,20149,15081,3185,18266,17167,3653,20820,13834,3348,17182,15402,3940,19342,12342,3068,15410,15444.54,7030,22474.54,13273,4698,17971,20128,7051,27179,13176,4774,17950,19736,6838,26574,13055,4126.52,17181.52,17887,6973.34,24860.34,13040.13,3941,16981.13,17992,6965,24957,12899,4801,17700,10746,10436,21182,19272.16,4458,23730.16,7327,3295,10622
Corn,Sorsogon,32,28,60,74,52,126,61,42,103,35,86,121,69,41,110,29,255,284,80,122,202,143,184,327,72,130,202,118,260,378,63,78,141,89,172,261,87,109,196,94,182,276,85.7,92.28,177.98,102.82,220,322.82,69.48,106.75,176.23,117,191,308,104.45,113,217.45,124,181,305,112.88,115.86,228.74,114.2,135.6,249.8,95.84,100.54,196.38,105.13,130.08,235.21,89.93,93.98,183.91,110.11,106.2,216.31,62,85.34,147.34,76.87,72.16,149.03
